Game,Date,A,B,C,D,E,F
1,01/01/2022,6,12,20,24,28,29
2,05/01/2022,3,9,13,15,17,35
3,08/01/2022,1,2,24,25,28,39
4,12/01/2022,1,13,14,28,29,39
5,15/01/2022,2,8,12,13,23,26
6,19/01/2022,8,11,14,19,27,38
7,22/01/2022,2,7,10,11,27,30
8,26/01/2022,4,8,13,18,22,24
9,29/01/2022,2,19,21,22,26,40
11,05/02/2022,1,5,18,25,26,27
12,09/02/2022,5,15,18,20,22,28
13,12/02/2022,6,12,13,15,16,28
14,16/02/2022,3,5,19,20,25,40
16,23/02/2022,1,9,13,31,37,38
17,26/02/2022,3,10,11,34,37,38
18,02/03/2022,18,22,30,32,35,39
19,05/03/2022,3,9,11,19,25,33
21,12/03/2022,2,12,19,22,30,36
22,16/03/2022,2,8,9,25,32,39
23,19/03/2022,2,4,8,13,17,31
24,23/03/2022,6,13,21,26,28,39
25,26/03/2022,1,2,5,11,20,25
26,30/03/2022,10,14,16,17,22,29
27,02/04/2022,11,13,21,25,27,36
28,06/04/2022,7,9,11,14,25,31
29,09/04/2022,9,14,19,37,39,40
30,13/04/2022,7,9,12,19,21,25
31,16/04/2022,12,15,17,27,31,40
32,20/04/2022,4,12,18,25,26,39
33,23/04/2022,4,12,17,21,39,40
34,27/04/2022,7,12,14,19,25,34
35,30/04/2022,3,18,23,27,30,39
36,04/05/2022,6,12,19,33,36,39
37,07/05/2022,4,26,27,30,31,35
38,11/05/2022,3,23,25,26,38,40
39,14/05/2022,5,8,16,22,25,39
40,18/05/2022,3,8,14,23,28,31
41,21/05/2022,1,12,18,25,27,32
42,25/05/2022,11,14,16,22,28,33
43,28/05/2022,6,12,15,17,18,37
44,01/06/2022,11,15,17,24,27,37
45,04/06/2022,3,5,10,17,26,32
46,08/06/2022,2,8,14,20,28,36
47,11/06/2022,5,7,8,9,19,38
48,15/06/2022,14,17,20,30,36,40
49,18/06/2022,2,12,16,25,30,40
50,22/06/2022,14,20,22,23,35,37
51,25/06/2022,2,12,13,23,24,25
52,29/06/2022,12,25,26,28,29,38
53,02/07/2022,4,5,20,25,28,39
54,06/07/2022,3,9,16,22,25,35
55,09/07/2022,2,4,9,11,12,34
56,13/07/2022,2,15,19,27,34,38
57,16/07/2022,11,20,24,28,31,37
58,20/07/2022,1,10,11,13,14,28
59,23/07/2022,3,8,16,32,38,40
60,27/07/2022,3,9,10,14,20,32
61,30/07/2022,5,8,21,35,38,39
62,03/08/2022,7,14,17,22,24,38
63,06/08/2022,6,9,10,15,21,26
64,10/08/2022,5,10,12,29,36,38
65,13/08/2022,1,3,5,19,30,40
66,17/08/2022,9,11,14,18,31,37
67,20/08/2022,10,11,13,18,26,35
68,24/08/2022,2,3,6,9,19,28
69,27/08/2022,9,17,19,25,28,40
70,31/08/2022,5,11,12,15,23,34
71,03/09/2022,2,7,11,32,33,36
72,07/09/2022,8,18,19,30,31,34
73,10/09/2022,6,10,23,24,36,39
74,14/09/2022,13,21,24,37,38,40
75,17/09/2022,3,6,11,28,34,38
76,21/09/2022,20,21,23,29,35,38
77,24/09/2022,1,9,10,14,27,40
78,28/09/2022,6,14,19,25,28,37
79,01/10/2022,10,11,17,20,23,34
80,05/10/2022,5,10,12,16,28,31
81,08/10/2022,4,9,13,21,22,28
82,12/10/2022,2,4,10,24,31,38
83,15/10/2022,1,5,14,19,21,34
84,19/10/2022,15,20,25,30,34,39
85,22/10/2022,3,10,22,26,35,38
86,26/10/2022,6,13,18,22,24,34
87,29/10/2022,5,15,16,18,20,29
88,02/11/2022,3,5,15,23,26,40
89,05/11/2022,3,13,16,19,24,40
90,09/11/2022,14,16,22,26,33,38
91,12/11/2022,13,14,16,20,23,29
92,16/11/2022,1,5,11,26,35,37
93,19/11/2022,6,11,29,33,35,38
94,23/11/2022,1,10,18,21,27,34
95,26/11/2022,4,6,8,12,23,40
96,30/11/2022,12,16,18,24,32,40
97,03/12/2022,9,10,15,16,20,36
98,07/12/2022,3,7,11,12,22,26
99,10/12/2022,15,18,22,24,32,35
100,14/12/2022,4,14,25,34,35,36
101,17/12/2022,2,12,14,21,24,33
102,21/12/2022,10,11,13,16,30,31
103,24/12/2022,4,5,8,13,30,35
104,28/12/2022,6,9,18,30,31,37
